path,subject_id,activity,recording_id
raw/gait_auth_sessions/20260920_collection/gait_20260920_033222_owner_walk_1.csv,owner,walk,owner_walk_1
raw/gait_auth_sessions/20260920_collection/gait_20260920_033649_owner_walk_2.csv,owner,walk,owner_walk_2
raw/gait_auth_sessions/20260920_collection/gait_20260920_034013_owner_walk_3.csv,owner,walk,owner_walk_3
raw/gait_auth_sessions/20260920_collection/gait_20260920_034345_owner_seated_legs_1.csv,owner,seated_legs,owner_seated_legs_1
raw/gait_auth_sessions/20260920_collection/gait_20260920_034537_owner_seated_legs_2.csv,owner,seated_legs,owner_seated_legs_2
raw/gait_auth_sessions/20260920_collection/gait_20260920_034758_owner_walk_in_place_1.csv,owner,walk_in_place,owner_walk_in_place_1
raw/gait_auth_sessions/20260920_collection/gait_20260920_034921_owner_walk_in_place_2.csv,owner,walk_in_place,owner_walk_in_place_2
raw/gait_auth_sessions/20260920_collection/gait_20260920_035116_owner_phone_shake_1.csv,owner,phone_shake,owner_phone_shake_1
raw/gait_auth_sessions/20260920_collection/gait_20260920_035209_owner_phone_shake_2.csv,owner,phone_shake,owner_phone_shake_2
raw/gait_auth_sessions/20260920_collection/gait_20260920_035501_friend_ritvik_walk_1.csv,ritvik,walk,ritvik_walk_1
raw/gait_auth_sessions/20260920_collection/gait_20260920_035906_friend_ritvik_walk_2.csv,ritvik,walk,ritvik_walk_2
raw/gait_auth_sessions/20260920_additional_people/gait_20260920_042909_friend_ryan_walk_1.csv,ryan,walk,ryan_walk_1
raw/gait_auth_sessions/20260920_additional_people/gait_20260920_043221_friend_ryan_walk_2.csv,ryan,walk,ryan_walk_2
raw/gait_auth_sessions/20260920_additional_people/gait_20260920_044917_friend_jack_walk_1.csv,jack,walk,jack_walk_1
raw/gait_auth_sessions/20260920_additional_people/gait_20260920_045334_friend_jack_walk_2.csv,jack,walk,jack_walk_2
